Seq	Voltage	Current	Wire_Feed_Speed
1	4700	1A80	2886
2	3B00	1980	2886
3	3800	2080	2886
4	3740	2200	2886
5	36C0	2300	2886
6	36C0	2380	2886
7	3700	2340	2886
8	36C0	2340	2886
9	3700	22C0	2886
10	36C0	22C0	2886
11	3700	2300	2886
12	36C0	2300	2886
13	36C0	2300	2886
14	3700	2380	2886
15	3700	2380	2886
16	36C0	2380	2886
17	3700	2380	2886
18	3700	2380	2886
19	36C0	23C0	2886
20	36C0	23C0	2886
21	36C0	2340	2886
































































































































































































































































